"ian","soil","stn_code","period","Yield, stress","Yield, no stress","Low market yield, stress","Low market yield, no stress","High market yield, stress","High market yield, no stress","Gains.total","Gains.market.low","Gains.market.high","min.temp","max.temp","precip.cum","windspeed","vapour.pressure","radiation","GDD","station","cetm","precip_e","CWR","irrigated","Gross Benefit, low","Gross Benefit, high","pivot I","pivot II","hose reel + sprinkler","hose reel + boom cart","costs.yearly, pivot I","costs.cum, pivot I","rot1costs.yearly, pivot I","rot1costs.cum, pivot I","rot2costs.yearly, pivot I","rot2costs.cum, pivot I","rot3costs.yearly, pivot I","rot3costs.cum, pivot I","costs.yearly, pivot II","costs.cum, pivot II","rot1costs.yearly, pivot II","rot1costs.cum, pivot II","rot2costs.yearly, pivot II","rot2costs.cum, pivot II","rot3costs.yearly, pivot II","rot3costs.cum, pivot II","costs.yearly, hose reel + sprinkler","costs.cum, hose reel + sprinkler","rot1costs.yearly, hose reel + sprinkler","rot1costs.cum, hose reel + sprinkler","rot2costs.yearly, hose reel + sprinkler","rot2costs.cum, hose reel + sprinkler","rot3costs.yearly, hose reel + sprinkler","rot3costs.cum, hose reel + sprinkler","costs.yearly, hose reel + boom cart","costs.cum, hose reel + boom cart","rot1costs.yearly, hose reel + boom cart","rot1costs.cum, hose reel + boom cart","rot2costs.yearly, hose reel + boom cart","rot2costs.cum, hose reel + boom cart","rot3costs.yearly, hose reel + boom cart","rot3costs.cum, hose reel + boom cart","gross.cum, low","gross.cum, high","rot1gross.yearly, low","rot1gross.yearly, high","rot1gross.cum, low","rot1gross.cum, high","rot2gross.yearly, low","rot2gross.yearly, high","rot2gross.cum, low","rot2gross.cum, high","rot3gross.yearly, low","rot3gross.yearly, high","rot3gross.cum, low","rot3gross.cum, high"
2009,"ARY","S","GS",47.13097,47.13097,32.991679,32.991679,42.417873,42.417873,0,0,0,12.1788172043011,21.334435483871,501.78,4.62434807948921,15.6215162088834,17.117100192217,1438.3,"SUMMERSIDE",320.16758,501.78,-181.61242,FALSE,0,0,0,0,0,0,0,8305.28074085526,0,8107.25972953947,0,7873.48429421053,7823,7970.53671710526,0,6428.44994743421,0,6385.97414138158,0,6335.82895736842,6325,6356.64684868421,0,11335.4994743421,0,10910.7414138158,0,10409.2895736842,10301,10617.4684868421,0,10953.9441670395,0,10793.0147046711,0,10603.0280215789,10562,10681.9014407895,5747.60034576,7389.77187312,0,0,3982.98664764,5120.98283268,0,0,1407.920787,1810.183869,0,0,356.69291112,458.605171439999
2010,"ARY","S","GS",46.84795,46.84795,32.793565,32.793565,42.163155,42.163155,0,0,0,12.274435483871,21.6662903225806,446.91,4.48251730183635,15.8355816299829,17.3138732473931,1464.95,"SUMMERSIDE",354.46058,446.91,-92.44942,FALSE,0,0,0,0,0,0,0,8305.28074085526,0,8107.25972953947,0,7873.48429421053,0,7970.53671710526,0,6428.44994743421,0,6385.97414138158,0,6335.82895736842,0,6356.64684868421,0,11335.4994743421,0,10910.7414138158,0,10409.2895736842,0,10617.4684868421,0,10953.9441670395,0,10793.0147046711,0,10603.0280215789,0,10681.9014407895,5747.60034576,7389.77187312,0,0,3982.98664764,5120.98283268,0,0,1407.920787,1810.183869,0,0,356.69291112,458.605171439999
2011,"ARY","S","GS",44.98765,44.98765,31.491355,31.491355,40.488885,40.488885,0,0,0,11.9776075268817,21.0606720430108,273.1,4.71799652182571,15.4306940011657,16.8791868605313,1409.7,"SUMMERSIDE",306.96063,273.1,33.86063,TRUE,0,0,73.7359771710525,15.8164784868421,158.164784868421,59.9244044078947,73.7359771710525,8379.01671802632,0,8107.25972953947,73.7359771710525,7947.22027138158,0,7970.53671710526,15.8164784868421,6444.26642592105,0,6385.97414138158,15.8164784868421,6351.64543585526,0,6356.64684868421,158.164784868421,11493.6642592105,0,10910.7414138158,158.164784868421,10567.4543585526,0,10617.4684868421,59.9244044078947,11013.8685714474,0,10793.0147046711,59.9244044078947,10662.9524259868,0,10681.9014407895,5747.60034576,7389.77187312,0,0,3982.98664764,5120.98283268,0,0,1407.920787,1810.183869,0,0,356.69291112,458.605171439999
2012,"ARY","S","GS",40.4805,43.57661,28.33635,30.503627,36.43245,39.218949,3.09611,2.167277,2.786499,12.9508064516129,22.3393010752688,347.4,4.68715924389209,15.7662504140472,17.2734228704347,1547.75,"SUMMERSIDE",342.21161,347.4,-5.18838999999997,FALSE,0,0,0,0,0,0,0,8379.01671802632,0,8107.25972953947,0,7947.22027138158,0,7970.53671710526,0,6444.26642592105,0,6385.97414138158,0,6351.64543585526,0,6356.64684868421,0,11493.6642592105,0,10910.7414138158,0,10567.4543585526,0,10617.4684868421,0,11013.8685714474,0,10793.0147046711,0,10662.9524259868,0,10681.9014407895,5747.60034576,7389.77187312,0,0,3982.98664764,5120.98283268,0,0,1407.920787,1810.183869,0,0,356.69291112,458.605171439999
2013,"ARY","S","GS",42.54462,45.56923,29.781234,31.898461,38.290158,41.012307,3.02461,2.117227,2.72214899999999,12.7949462365591,22.3044623655914,322.7,4.6654499918737,15.6756476945004,17.4926094501221,1535.5,"SUMMERSIDE",334.81448,322.7,12.11448,TRUE,848.83864884,1091.36397708,26.3808742105263,5.65873736842106,56.5873736842106,21.4394415789474,26.3808742105263,8405.39759223684,26.3808742105263,8133.64060375,0,7947.22027138158,0,7970.53671710526,5.65873736842106,6449.92516328947,5.65873736842106,6391.63287875,0,6351.64543585526,0,6356.64684868421,56.5873736842106,11550.2516328947,56.5873736842106,10967.3287875,0,10567.4543585526,0,10617.4684868421,21.4394415789474,11035.3080130263,21.4394415789474,10814.45414625,0,10662.9524259868,0,10681.9014407895,6596.4389946,8481.1358502,848.83864884,1091.36397708,4831.82529648,6212.34680976,0,0,1407.920787,1810.183869,0,0,356.69291112,458.605171439999
2014,"ARY","S","GS",41.83472,45.2566,29.284304,31.67962,37.651248,40.73094,3.42188,2.395316,3.079692,13.0813978494624,22.2386559139785,271.7,5.02613392377885,15.9010592803679,17.0839604492014,1549.2,"SUMMERSIDE",346.55143,271.7,74.85143,TRUE,960.33009072,1234.71011664,162.998837697368,34.9634969078947,349.634969078947,132.467333355263,162.998837697368,8568.39642993421,0,8133.64060375,162.998837697368,8110.21910907895,0,7970.53671710526,34.9634969078947,6484.88866019737,0,6391.63287875,34.9634969078947,6386.60893276316,0,6356.64684868421,349.634969078947,11899.8866019737,0,10967.3287875,349.634969078947,10917.0893276316,0,10617.4684868421,132.467333355263,11167.7753463816,0,10814.45414625,132.467333355263,10795.4197593421,0,10681.9014407895,7556.76908532,9715.84596684,0,0,4831.82529648,6212.34680976,960.33009072,1234.71011664,2368.25087772,3044.89398564,0,0,356.69291112,458.605171439999
2015,"ARY","S","GS",40.30327,40.30327,28.212289,28.212289,36.272943,36.272943,0,0,0,13.2104301075269,22.4181451612903,394,4.63203479541795,16.8827597464904,17.1304495076245,1568.2,"SUMMERSIDE",303.54773,394,-90.45227,FALSE,0,0,0,0,0,0,0,8568.39642993421,0,8133.64060375,0,8110.21910907895,0,7970.53671710526,0,6484.88866019737,0,6391.63287875,0,6386.60893276316,0,6356.64684868421,0,11899.8866019737,0,10967.3287875,0,10917.0893276316,0,10617.4684868421,0,11167.7753463816,0,10814.45414625,0,10795.4197593421,0,10681.9014407895,7556.76908532,9715.84596684,0,0,4831.82529648,6212.34680976,0,0,2368.25087772,3044.89398564,0,0,356.69291112,458.605171439999
2016,"ARY","S","GS",42.77231,45.86003,29.940617,32.102021,38.495079,41.274027,3.08772,2.161404,2.77894800000001,12.212311827957,21.6145698924731,250.9,4.72679584826762,15.6706198878886,17.2921208878121,1457,"SUMMERSIDE",316.95829,250.9,66.05829,TRUE,866.550091680002,1114.13583216,143.850618355263,30.8561749342105,308.561749342105,116.905789539474,143.850618355263,8712.24704828947,143.850618355263,8277.49122210526,0,8110.21910907895,0,7970.53671710526,30.8561749342105,6515.74483513158,30.8561749342105,6422.48905368421,0,6386.60893276316,0,6356.64684868421,308.561749342105,12208.4483513158,308.561749342105,11275.8905368421,0,10917.0893276316,0,10617.4684868421,116.905789539474,11284.6811359211,116.905789539474,10931.3599357895,0,10795.4197593421,0,10681.9014407895,8423.319177,10829.981799,866.550091680002,1114.13583216,5698.37538816,7326.48264192,0,0,2368.25087772,3044.89398564,0,0,356.69291112,458.605171439999
2017,"ARY","S","GS",34.76862,48.70066,24.338034,34.090462,31.291758,43.830594,13.93204,9.752428,12.538836,12.2491935483871,22.2362365591398,220.3,4.68712015154436,15.5686797937654,17.9454906854563,1496.6,"SUMMERSIDE",292.39671,220.3,72.09671,TRUE,3909.94343376,5027.07012912,157.00007243421,33.6767526973684,336.767526973684,127.592203881579,157.00007243421,8869.24712072368,0,8277.49122210526,157.00007243421,8267.21918151316,0,7970.53671710526,33.6767526973684,6549.42158782895,0,6422.48905368421,33.6767526973684,6420.28568546053,0,6356.64684868421,336.767526973684,12545.2158782895,0,11275.8905368421,336.767526973684,11253.8568546053,0,10617.4684868421,127.592203881579,11412.2733398026,0,10931.3599357895,127.592203881579,10923.0119632237,0,10681.9014407895,12333.26261076,15857.05192812,0,0,5698.37538816,7326.48264192,3909.94343376,5027.07012912,6278.19431148,8071.96411476,0,0,356.69291112,458.605171439999
2018,"ARY","S","GS",41.84843,41.85398,29.293901,29.297786,37.663587,37.668582,0.0055499999999995,0.00388500000000036,0.00499500000000097,12.0520967741935,22.0788709677419,347.3,4.89760512504571,15.7171902313501,17.9325935816971,1481.5,"SUMMERSIDE",345.58046,347.3,-1.71953999999999,FALSE,0,0,0,0,0,0,0,8869.24712072368,0,8277.49122210526,0,8267.21918151316,0,7970.53671710526,0,6549.42158782895,0,6422.48905368421,0,6420.28568546053,0,6356.64684868421,0,12545.2158782895,0,11275.8905368421,0,11253.8568546053,0,10617.4684868421,0,11412.2733398026,0,10931.3599357895,0,10923.0119632237,0,10681.9014407895,12333.26261076,15857.05192812,0,0,5698.37538816,7326.48264192,0,0,6278.19431148,8071.96411476,0,0,356.69291112,458.605171439999
